name	x_center	y_center	width	height	label	is_occluded	is_truncated	d3_separation	ignore_state	importance_state	r_label	is_rider_on_2_wheels	l_label	image_id
1697708871133120	1693.07739257813	1022.2736511230501	26.8266296386719	12.65380859375	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	1618.1071472168	1017.44314575195	24.549987792968697	17.6932983398438	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	1774.19903564453	1026.24157714844	20.3296508789062	32.5214233398437	CAR	1	0	0.0	0	0	BACK	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	1749.36944580078	1029.5773010253897	54.5235595703125	39.953369140625	CAR	0	0	0.0	0	0	BACK	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	1896.873046875	1021.5571594238298	47.1854248046875	44.2931518554687	CAR	0	0	0.0	0	3	BACK	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	1464.93860626221	1054.03665161133	210.126205444336	120.163269042969	CAR	0	0	1488.8488105407928	0	0	SIDE	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	599.863647460938	1076.33198547363	462.827880859375	181.252532958984	CAR	1	0	604.5188284518828	0	0	SIDE	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	1576.4085890468095	1020.6702367589971	35.79388318010683	18.76511739631451	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	1660.8033411320152	1021.1774020940327	24.628818701908354	15.722125386101313	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	1856.8143205666088	1027.857619277485	16.776956390981923	40.0092863852218	CAR	1	0	0.0	0	0	BACK	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	1820.099609375	1010.35437774658	72.3804931640625	95.7624359130859	VAN	0	0	0.0	0	2	BACK	0	BACK	6536e0fa056a7e2152cd376b
1697708871133120	811.8076171875	950.669097900391	409.22314453125	201.716247558594	TRACTOR	1	0	775.0345150418707	1	0	SIDE	0	FRONT	6536e0fa056a7e2152cd376b
1697708871133120	328.745574951172	976.379669189453	657.491149902344	416.5377807617189	TRUCK	1	1	0.0	0	0	SIDE	0	SIDE	6536e0fa056a7e2152cd376b
1697708853799712	1835.5013151200383	1033.5120206896809	35.150264076835356	35.184345588483495	CAR	0	0	0.0	0	2	BACK	0	BACK	6536e0fa056a7e2152cd378d
1697708853799712	1779.21481323242	1046.28485107422	72.8360595703125	59.9476013183594	CAR	0	0	0.0	0	3	BACK	0	BACK	6536e0fa056a7e2152cd378d
1697708853799712	2432.60766601562	1005.92266845703	171.6181640625	168.195190429687	TRACTOR	1	0	2422.0506965735385	0	0	BACK	0	SIDE	6536e0fa056a7e2152cd378d
1697708870466454	1919.46673583984	1021.3406829834	41.494140625	43.9807739257813	VAN	0	0	0.0	0	3	BACK	0	BACK	6536e0fa056a7e2152cd38e4
1697708870466454	1840.99127197266	1010.9058837890599	72.255615234375	94.2263793945313	VAN	0	0	0.0	0	2	BACK	0	BACK	6536e0fa056a7e2152cd38e4
1697708870466454	1704.2466735839798	1021.1814270019499	19.7698364257813	12.9281616210938	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd38e4
1697708870466454	1664.0205383300797	1019.5063171386699	27.355224609375	17.5623779296875	CAR	1	0	0.0	1	0	FRONT	0	FRONT	6536e0fa056a7e2152cd38e4
